# ppt,,,,,,
,MN101,MN102    ,MN101,MN102    ,MN101,MN102    
TIMESTEP,MEAN(mm/d),MEAN(mm/d),VARIANCE(mm/d^2),VARIANCE(mm/d^2),STD_DEV(mm/d),STD_DEV(mm/d)
1979-10-08T00:00:00Z,1.233261,1.0835449,0.6888779,0.8349384,0.8299867,0.91374964
1979-10-09T00:00:00Z,0.020428289,0.03646018,0.007955084,0.014233368,0.08919128,0.11930368
1979-10-10T00:00:00Z,0.07864472,0.21897899,0.026765106,0.19983388,0.16360044,0.44702783
1979-10-11T00:00:00Z,0.12190131,0.27873045,0.120728716,0.23482217,0.3474604,0.48458454
1979-10-12T00:00:00Z,0,0,0,0,0,0
1979-10-13T00:00:00Z,0.03547392,0.019378211,0.005166701,0.003091627,0.07187977,0.055602398
1979-10-14T00:00:00Z,0.59595495,0.58255476,0.45132878,0.81728154,0.6718101,0.9040362
1979-10-15T00:00:00Z,1.2660054,0.82638866,1.2683383,0.98941773,1.1262053,0.9946948
1979-10-16T00:00:00Z,0.6281611,0.3611272,0.51364183,0.3453949,0.7166881,0.58770305
1979-10-17T00:00:00Z,0.37651706,0.64673626,0.4160008,0.9919505,0.64498127,0.9959671
1979-10-18T00:00:00Z,3.5950828,4.074706,14.490383,10.021292,3.8066237,3.1656425
1979-10-19T00:00:00Z,17.246744,15.999517,46.918713,40.92343,6.849724,6.3971424
1979-10-20T00:00:00Z,20.636742,21.72323,100.881966,134.48389,10.044002,11.596719
1979-10-21T00:00:00Z,8.553751,11.183639,20.939882,34.152252,4.5760117,5.8439927
1979-10-22T00:00:00Z,0.09292364,0.12027998,0.07336722,0.0911984,0.27086383,0.30199072
1979-10-23T00:00:00Z,0,0,0,0,0,0
1979-10-24T00:00:00Z,2.1841404,3.1744714,5.4301233,10.7441025,2.3302624,3.2778199
1979-10-25T00:00:00Z,6.3637223,8.713959,24.014149,26.03465,4.9004235,5.102416
1979-10-26T00:00:00Z,7.381787,4.240421,85.88547,52.229576,9.267442,7.227003
1979-10-27T00:00:00Z,0,0,0,0,0,0
1979-10-28T00:00:00Z,0.05516166,0.09418582,0.008670206,0.02040419,0.093113944,0.14284323
1979-10-29T00:00:00Z,0.104447216,0.21648385,0.062061027,0.119543225,0.2491205,0.34575024
1979-10-30T00:00:00Z,0.059093755,0.06881442,0.005961454,0.010262976,0.07721045,0.10130635
1979-10-31T00:00:00Z,0.092497654,0.08287192,0.007879774,0.008652656,0.088768095,0.09301966
1979-11-01T00:00:00Z,0.052945297,0.121517494,0.02285236,0.046100214,0.15116997,0.21470961
1979-11-02T00:00:00Z,2.3854148,3.6891837,6.9186606,14.628633,2.6303346,3.8247395
1979-11-03T00:00:00Z,5.570276,9.155285,34.459576,54.208786,5.870228,7.362662
1979-11-04T00:00:00Z,2.6412048,2.8457828,5.3083434,9.38297,2.3039842,3.0631633
1979-11-05T00:00:00Z,0.002839183,0.051695205,0.00389751,0.06716534,0.06243004,0.25916275
1979-11-06T00:00:00Z,0,0,0,0,0,0
1979-11-07T00:00:00Z,0,0,0,0,0,0
1979-11-08T00:00:00Z,0,0,0,0,0,0
1979-11-09T00:00:00Z,0,0,0,0,0,0
1979-11-10T00:00:00Z,0,0,0,0,0,0
1979-11-11T00:00:00Z,0,0,0,0,0,0
1979-11-12T00:00:00Z,0,0,0,0,0,0
1979-11-13T00:00:00Z,0,0,0,0,0,0
1979-11-14T00:00:00Z,0,0,0,0,0,0
1979-11-15T00:00:00Z,0,0,0,0,0,0
1979-11-16T00:00:00Z,1.9341128,2.7865806,6.1587143,13.31869,2.4816756,3.6494782
1979-11-17T00:00:00Z,5.2540927,7.493849,25.940266,61.400276,5.0931587,7.835833
1979-11-18T00:00:00Z,2.9971182,2.0655959,8.180458,6.9373116,2.86015,2.6338778
1979-11-19T00:00:00Z,0,0,0,0,0,0
1979-11-20T00:00:00Z,0,0,0,0,0,0
1979-11-21T00:00:00Z,0.5978056,0.9987228,1.0197269,2.30718,1.0098152,1.5189404
1979-11-22T00:00:00Z,1.2300993,2.5247989,5.865009,10.509296,2.421778,3.2418046
1979-11-23T00:00:00Z,1.7694479,1.8184028,1.099584,1.4454548,1.0486104,1.2022707
1979-11-24T00:00:00Z,3.7023828,5.254743,6.729146,18.846558,2.5940597,4.3412623
1979-11-25T00:00:00Z,6.2570386,10.353844,34.75336,53.897923,5.8951983,7.3415203
1979-11-26T00:00:00Z,5.994288,5.931911,33.036274,36.935173,5.747719,6.0774317
1979-11-27T00:00:00Z,0.09756365,0.051190633,0.020077378,0.012277322,0.14169466,0.110803075
1979-11-28T00:00:00Z,0,0,0,0,0,0
1979-11-29T00:00:00Z,0,0,0,0,0,0
1979-11-30T00:00:00Z,0,0,0,0,0,0
1979-12-01T00:00:00Z,0,0,0,0,0,0
1979-12-02T00:00:00Z,0,0,0,0,0,0
1979-12-03T00:00:00Z,0,0,0,0,0,0
1979-12-04T00:00:00Z,0,0,0,0,0,0
1979-12-05T00:00:00Z,0,0,0,0,0,0
1979-12-06T00:00:00Z,0,0,0,0,0,0
1979-12-07T00:00:00Z,0,0,0,0,0,0
1979-12-08T00:00:00Z,0,0,0,0,0,0
1979-12-09T00:00:00Z,0,0,0,0,0,0
1979-12-10T00:00:00Z,0,0,0,0,0,0
1979-12-11T00:00:00Z,0,0,0,0,0,0
1979-12-12T00:00:00Z,0,0,0,0,0,0
1979-12-13T00:00:00Z,0,0,0,0,0,0
1979-12-14T00:00:00Z,0,0,0,0,0,0
1979-12-15T00:00:00Z,0,0,0,0,0,0
1979-12-16T00:00:00Z,0,0,0,0,0,0
1979-12-17T00:00:00Z,0,0,0,0,0,0
1979-12-18T00:00:00Z,0,0,0,0,0,0
1979-12-19T00:00:00Z,1.6935244,1.727193,2.4523478,2.3766336,1.5659974,1.5416335
1979-12-20T00:00:00Z,7.532028,8.778154,22.51398,20.883791,4.74489,4.5698786
1979-12-21T00:00:00Z,13.505722,15.256223,44.152306,71.19185,6.64472,8.437527
1979-12-22T00:00:00Z,9.6443,9.543692,17.25145,20.857601,4.1534867,4.5670123
1979-12-23T00:00:00Z,19.618862,25.089632,201.29128,221.2424,14.187716,14.874219
1979-12-24T00:00:00Z,56.02413,55.87499,313.65216,443.90332,17.710228,21.069014
